astar,bodytrack_1m,bzip2,canneal.uniq,gcc,mcf,perlbench,streamcluster,swim,twolf, ,块大小,映射方式,写策略,替换策略
0.232332,0.002482,0.012170,0.008302,0.041145,0.045984,0.017931,0.030324,0.065780,0.011402, ,8,8-way组相联,写分配+写回,随机
0.232848,0.002482,0.012170,0.007644,0.040979,0.045759,0.017902,0.023820,0.065368,0.011402, ,8,8-way组相联,写分配+写回,LRU
0.232874,0.002482,0.012170,0.007679,0.040901,0.045759,0.017833,0.024752,0.065361,0.011402, ,8,8-way组相联,写分配+写回,二叉树
0.232262,0.002482,0.012170,0.007646,0.040934,0.045759,0.017862,0.024975,0.065364,0.011402, ,8,8-way组相联,写分配+写回,Protected LRU
